Distribución;local;dia;bloque_30min;porcentaje_ventas
glovo&local;ICARIA;LUNES;20:00:00;0.005374188
glovo&local;ICARIA;LUNES;20:30:00;0.005959408
glovo&local;ICARIA;LUNES;21:00:00;0.005601957
glovo&local;ICARIA;LUNES;21:30:00;0.005996554
glovo&local;ICARIA;LUNES;22:00:00;0.006319424
glovo&local;ICARIA;LUNES;22:30:00;0.006343708
glovo&local;ICARIA;LUNES;23:00:00;0.001633743
glovo&local;ICARIA;LUNES;23:30:00;0
glovo&local;ICARIA;MARTES;0:00:00;0
glovo&local;ICARIA;MARTES;0:30:00;0
glovo&local;ICARIA;MARTES;1:00:00;0
glovo&local;ICARIA;MARTES;1:30:00;0
glovo&local;ICARIA;MARTES;2:00:00;0
glovo&local;ICARIA;MARTES;2:30:00;0
glovo&local;ICARIA;MARTES;3:00:00;0
glovo&local;ICARIA;MARTES;3:30:00;0
glovo&local;ICARIA;MARTES;4:00:00;0
glovo&local;ICARIA;MARTES;4:30:00;0
glovo&local;ICARIA;MARTES;5:00:00;0
glovo&local;ICARIA;MARTES;5:30:00;0
glovo&local;ICARIA;MARTES;6:00:00;0
glovo&local;ICARIA;MARTES;6:30:00;0
glovo&local;ICARIA;MARTES;7:00:00;0
glovo&local;ICARIA;MARTES;7:30:00;0
glovo&local;ICARIA;MARTES;8:00:00;0
glovo&local;ICARIA;MARTES;8:30:00;0
glovo&local;ICARIA;MARTES;9:00:00;0
glovo&local;ICARIA;MARTES;9:30:00;0
glovo&local;ICARIA;MARTES;10:00:00;0
glovo&local;ICARIA;MARTES;10:30:00;0
glovo&local;ICARIA;MARTES;11:00:00;0
glovo&local;ICARIA;MARTES;11:30:00;0
glovo&local;ICARIA;MARTES;12:00:00;0
glovo&local;ICARIA;MARTES;12:30:00;0.003506
glovo&local;ICARIA;MARTES;13:00:00;0.004581111
glovo&local;ICARIA;MARTES;13:30:00;0.006306115
glovo&local;ICARIA;MARTES;14:00:00;0.009839456
glovo&local;ICARIA;MARTES;14:30:00;0.011296594
glovo&local;ICARIA;MARTES;15:00:00;0.009079056
